,datadate,tic,adjcp,open,high,low,volume,neutral,positive,negative,macd,rsi,cci,adx,turbulence
0,20151113,BTC,336.75299069999994,338.4979858,340.9140015000001,326.0750122,52003000,92.99446200579405,4.937239546017709,0.06829850941607063,0.0,0.0,-66.6666666666709,100.0,0.0
1,20151113,ETH,0.904096007,0.907721996,0.917308986,0.846023023,543671,92.99446200579405,4.937239546017709,0.06829850941607063,0.0,0.0,66.66666666666163,100.0,0.0
2,20151114,BTC,332.9060059,336.6239929,338.1809998,329.9700012,38612000,93.11092879623176,4.1764203632383605,0.7126512312662854,-0.08631055641023977,0.0,-66.6666666666709,100.0,0.0
3,20151114,ETH,0.888812006,0.905469,0.906113029,0.876908004,372514,93.11092879623176,4.1764203632383605,0.7126512312662854,-0.0003429102788460314,0.0,66.66666666666163,100.0,0.0
4,20151115,BTC,320.1659851,333.0509949,334.6619873,317.4899902,44213100,92.92578464746477,0.041948587345078885,0.03226630304528655,-0.5050440630624848,0.0,-99.99999999999959,100.0,0.0
5,20151115,ETH,0.906368017,0.891216993,0.921516001,0.874957025,411848,92.92578464746477,0.041948587345078885,0.03226630304528655,0.00010747509218878015,54.301623548551746,99.9999999999985,100.0,0.0
6,20151116,BTC,330.7510071000001,319.7349854,331.6260071000001,315.9049988,47980100,91.21640875935556,1.7641690937837398,0.019422540601281568,-0.30094673515930026,39.950762323192556,-51.99469492898454,100.0,0.0
7,20151116,ETH,0.928961992,0.906166017,0.94473201,0.8919709920000001,620945,91.21640875935556,1.7641690937837398,0.019422540601281568,0.001125432108266211,73.47652893209133,131.47790088541475,100.0,0.0
8,20151117,BTC,335.0939941000001,330.3619995,338.3500061000001,329.6140137,51001600,91.5248577464372,5.392510016088291,1.0826332017589486,-0.01089016591060954,48.656928251454794,57.787443257675754,29.69604344424961,0.0
9,20151117,ETH,1.007979989,0.924947977,1.032950044,0.905794024,1145440,91.5248577464372,5.392510016088291,1.0826332017589486,0.0047991895003465235,89.46670631517598,154.9799907475129,100.0,0.0
10,20151118,BTC,334.5899963,334.5929871,336.5310059,330.6400146000001,43783800,87.71075048856437,3.266267697838437,1.0229822725279083,0.14212662642978557,47.82452555192115,46.438821075421515,29.696043444249604,0.0
11,20151118,ETH,0.993318975,0.993214011,1.011569977,0.940515995,681104,87.71075048856437,3.266267697838437,1.0229822725279083,0.006290493562967958,80.18788272359409,99.59473970160309,100.0,0.0
12,20151119,BTC,326.1489868000001,334.6789856000001,335.3340149,325.2730103,45011100,94.2954048588872,1.668548751311981,0.036046708306763264,-0.14458225018159965,36.89026201810661,-33.13572208197915,46.76415932523971,0.0
13,20151119,ETH,0.955532014,0.988713026,1.007969975,0.937497973,443528,94.2954048588872,1.668548751311981,0.036046708306763264,0.005426716815279065,62.817376438390504,59.92894302218072,94.56324587484579,0.0
14,20151120,BTC,322.0220032,326.4110107,326.4729918999999,312.2170105,53152900,94.05988462269306,0.939280742430174,0.0008343012528015947,-0.5307832132294834,33.06651696027208,-132.6698899062563,67.36634861659597,0.0
15,20151120,ETH,0.924920022,0.955735028,0.955735028,0.8985760209999999,614335,94.05988462269306,0.939280742430174,0.0008343012528015947,0.0033043731142150534,53.16559852683339,-12.172191071084267,41.52592247168045,0.0
16,20151121,BTC,326.927002,322.0920105,328.1589966,319.5950012,28200500,83.8908945103176,6.053696466529168,1.0554089726795688,-0.546789180243934,40.63234556604114,-59.364123310139696,58.87870214278941,0.0
17,20151121,ETH,0.976140022,0.928758025,0.978743017,0.920939982,455976,83.8908945103176,6.053696466529168,1.0554089726795688,0.004325623205233442,63.00451888879098,47.022280356271494,50.11823984095795,0.0
18,20151122,BTC,324.5360107,326.9750061000001,327.0100098000001,321.2590027,23439400,85.84434026107192,8.20928574409885,0.9463741558510465,-0.6733466153540348,38.441194621448645,-61.60075409675976,58.87870214278941,0.0
19,20151122,ETH,0.968017995,0.979764998,0.984131992,0.958981991,372173,85.84434026107192,8.20928574409885,0.9463741558510465,0.0045687774290197325,60.905636663033484,63.38745018126835,51.88830318490423,0.0
20,20151123,BTC,323.04599,324.3500061000001,325.1180115,321.2900085,27478900,89.5439161732793,5.382506246657982,0.07357718416462689,-0.8347375974045121,37.14969806027177,-70.36976437994467,58.87870214278941,0.0
21,20151123,ETH,0.946968973,0.967492998,0.969057024,0.933870018,441875,89.5439161732793,5.382506246657982,0.07357718416462689,0.0035590125023474695,55.91205058479201,21.622340821169864,29.073242796014842,0.0
22,20151124,BTC,320.04599,323.0140076,323.0580139,318.1180115,29362600,90.90469637140629,3.9977776158081912,1.0975250115771082,-1.106497820954246,34.72012549719162,-97.80845231536765,63.170860948298454,0.0
23,20151124,ETH,0.900191009,0.946442008,0.948055029,0.895931005,524195,90.90469637140629,3.9977776158081912,1.0975250115771082,0.00020072528717118843,47.044622220645735,-50.42028026961087,3.8746749477880003,0.0
24,20151125,BTC,328.2059937,320.0450134,329.1340027,316.769989,41666900,86.73829457163811,2.2457745621541427,0.015931004851047703,-0.8324207407750919,44.86594001369183,-36.276051448753336,34.43799818433696,0.0
25,20151125,ETH,0.863537014,0.8938270209999999,0.899492979,0.8511059879999999,622991,86.73829457163811,2.2457745621541427,0.015931004851047703,-0.004363051270096396,41.685643460562495,-124.28972359382423,16.671513289388987,0.0
26,20151126,BTC,352.6839905,328.303009,366.7569885,328.2290039,106105000,91.7716154642403,3.201235495154997,0.02714960057076965,0.802191982010072,62.805035203536754,226.5679592874445,37.92011142699219,0.0
27,20151126,ETH,0.88418299,0.863273025,0.903643012,0.804359972,947473,91.7716154642403,3.201235495154997,0.02714960057076965,-0.006525870179123094,45.31537611461597,-122.29320988787335,31.72596638464542,0.0
28,20151127,BTC,358.0419922,351.8609924,363.5889893,347.8699951000001,55179100,83.59951198846102,7.328408912342957,0.07207927749978182,2.34265282431096,65.35739191777724,220.7955189509196,37.9201114269922,0.0
29,20151127,ETH,0.8679509759999999,0.882099986,0.900050998,0.8606950040000001,403813,83.59951198846102,7.328408912342957,0.07207927749978182,-0.0090369305717386,43.1318543369148,-90.50267674852088,31.72596638464541,0.0
30,20151128,BTC,357.381012,357.1409912,359.5360107,352.17199710000006,36816600,92.54592436552048,0.06409530181382195,0.389979334925183,3.4420121718324594,64.79001176813487,176.11151353687512,37.920111426992186,0.0
31,20151128,ETH,0.915702999,0.8681020140000001,0.929292977,0.8621219990000001,462464,92.54592436552048,0.06409530181382195,0.389979334925183,-0.007932578883876218,50.40456435631975,-39.902385277034846,16.6604296433832,0.0
32,20151129,BTC,371.2940063,357.4719849,371.9389954,355.6659851,40409300,80.22208624333145,8.697421994630878,0.0804921796543212,5.098711247262656,70.38768126980636,197.57927006612036,48.978303044079134,0.0
33,20151129,ETH,0.878614008,0.91414398,0.91415298,0.860532999,448358,80.22208624333145,8.697421994630878,0.0804921796543212,-0.009287149689685137,45.707846567251416,-70.28159063777326,17.210438433676607,0.0
34,20151130,BTC,377.3210144,371.4370117,382.3630066,370.3829956,71701600,84.75269692700567,8.161970131459423,0.08533318286240288,6.684884056821659,72.3570633273711,196.96640034615032,56.01697374359035,0.0
35,20151130,ETH,0.8731189970000001,0.879951,0.8950539829999999,0.847696006,784439,84.75269692700567,8.161970131459423,0.08533318286240288,-0.01055698056362353,45.06426485458886,-87.93520347061965,21.674446288904086,0.0
36,20151201,BTC,362.4880066,377.4140015,378.9309998,356.5629883,60452200,86.78769602626562,5.415432608870223,0.7968711695320003,6.871043437931178,61.879607908283866,124.02001785406193,30.502251151822307,0.0
37,20151201,ETH,0.874800026,0.878315985,0.886735976,0.85393697,652857,86.78769602626562,5.415432608870223,0.7968711695320003,-0.011296614837866703,45.307971215276154,-83.04778374185001,21.674446288904083,0.0
38,20151202,BTC,359.1870117,361.8450012,362.23199460000006,349.4649963,54160500,87.82124252617359,6.237770409485643,0.9409865490679472,6.7164374139194365,59.88333571028922,77.18274270852824,19.75031686401154,0.0
39,20151202,ETH,0.821210027,0.873170972,0.8780170079999999,0.81892401,506307,87.82124252617359,6.237770409485643,0.9409865490679472,-0.015223596147473262,39.52541152801192,-131.45088589297382,32.94340482163653,0.0
40,20151203,BTC,361.04599,359.3309937,370.2749939,357.4119873,50714900,83.7349858097732,10.221941547672463,1.0430732678879515,6.639473879788682,60.62338945279562,93.88028003960615,27.032236086673382,0.0
41,20151203,ETH,0.8121430279999999,0.8185459970000001,0.837664008,0.785085976,539969,83.7349858097732,10.221941547672463,1.0430732678879515,-0.0186750936827329,38.66177622493021,-162.81625158664247,41.620609718686204,0.0
42,20151204,BTC,363.1830139,361.2619934,363.5159912,355.7569885,35784100,87.66088154911995,4.293863626252145,0.045254859537301684,6.644119733367916,61.46868882928036,79.50961918858384,24.546374356572343,0.0
43,20151204,ETH,0.840040982,0.812081993,0.859574974,0.802372992,241278,87.66088154911995,4.293863626252145,0.045254859537301684,-0.01925346825924157,42.65034288674371,-116.17181632030544,29.978542175964645,0.0
44,20151205,BTC,388.9490051,363.7210083,389.7850037,363.2290039,66282200,79.3556550182402,14.443626064187262,0.2007195416012344,8.319444855969948,69.60658951745786,142.1602854596959,43.35426210083295,0.0
45,20151205,ETH,0.8624380229999999,0.8411949870000001,0.8728209729999999,0.824443996,232743,79.3556550182402,14.443626064187262,0.2007195416012344,-0.01795216275284839,45.588775316426776,-80.3335577277043,23.421881529019924,0.0
46,20151206,BTC,388.7829895,389.5549927,402.8089905,387.0889893,77762000,93.72854632139206,5.167524795404335,0.10392890021768153,9.511023543402075,69.50873895882691,166.1085946460438,49.964297815823855,0.0
47,20151206,ETH,0.8355000020000001,0.8664169909999999,0.882435977,0.833114982,443608,93.72854632139206,5.167524795404335,0.10392890021768153,-0.018581479802686207,42.856645349185335,-81.10240436261273,18.772909973122477,0.0
48,20151207,BTC,395.5360107,389.9779968,399.9689941,385.4110107,63455800,92.42522762715816,3.5382966484354355,0.03647701468591258,10.795177709979157,71.21168790029567,152.0206542333746,47.592342197787154,0.0
49,20151207,ETH,0.8112639779999999,0.83632201,0.8507909770000001,0.787649989,520409,92.42522762715816,3.5382966484354355,0.03647701468591258,-0.020536912850535605,40.592480896028235,-127.40802409317962,31.764604351466453,0.0
50,20151208,BTC,415.5629883,395.7539978,415.5629883,389.9500122,57801400,81.60321785794076,10.34707181861292,1.0497112832995459,13.074540374105709,75.42281984923527,175.01780002605108,54.70884638999664,0.0
51,20151208,ETH,0.822117984,0.806024015,0.823644996,0.78232801,445903,81.60321785794076,10.34707181861292,1.0497112832995459,-0.021056311568296904,42.01180419360759,-129.80048035227242,33.10344345370879,0.0
52,20151209,BTC,417.5629883,414.4410095,423.1199951,406.2909851,90917200,87.35392616409806,6.312486358839272,1.3335892186875178,14.839471168366288,75.78869979030065,179.55185366702975,57.68542964972864,0.0
53,20151209,ETH,0.792167008,0.82445401,0.82445401,0.770488024,624221,87.35392616409806,6.312486358839272,1.3335892186875178,-0.023337937159597866,39.32953185522688,-140.6991634716273,36.08578816728916,0.0
54,20151210,BTC,415.4790039,417.9880066,419.5090027,411.5480042,52138900,83.67621632665396,11.340130655888007,0.9836542780906221,15.893665947056888,74.59172521872202,162.92716959511446,57.68542964972865,0.0
55,20151210,ETH,0.8403959870000001,0.795589983,0.861590028,0.78729099,369589,83.67621632665396,11.340130655888007,0.9836542780906221,-0.02139637902148206,45.1617707728005,-85.46366193989132,18.389750909490576,0.0
56,20151211,BTC,451.9379883,415.2810059,451.9379883,415.2810059,110944000,79.81240180134773,13.117456797440765,0.07014264350874555,19.159553316193467,80.23984779567266,202.65284543210078,67.99846318524119,0.0
57,20151211,ETH,0.929762006,0.8399950270000001,0.929762006,0.819788992,801072,79.81240180134773,13.117456797440765,0.07014264350874555,-0.013190597360345335,53.694336999463275,9.070162082824842,5.678662348687224,0.0
58,20151212,BTC,434.99700930000006,452.3349915,469.1029968,410.7409973,131969000,73.91284762322903,17.012864376568196,0.0742878314762061,20.25631124803664,72.49369005507452,178.34064896459867,71.87672200762485,0.0
59,20151212,ETH,0.976972997,0.931195974,1.045369983,0.928546011,1376280,73.91284762322903,17.012864376568196,0.0742878314762061,-0.0032026240912371717,57.32328842230366,137.52208890044284,31.078616901091173,0.0
60,20151213,BTC,433.7550049,431.6600037,441.6799927,426.2680054,55050600,67.90035933069885,21.01368647086697,0.08595502939967402,20.78738329569046,71.96678034603342,150.6411695429469,71.87672200762483,0.0
61,20151213,ETH,0.952884018,0.971538007,0.989394009,0.937438011,273614,67.90035933069885,21.01368647086697,0.08595502939967402,0.0028735826103561957,55.04623509480344,94.00657203007164,31.07861690109115,0.0
62,20151214,BTC,444.1820068,433.2720032,447.1419983,430.4559937,130496000,85.50179152563214,9.619694430603973,0.8785141137180972,21.729396766270554,73.63128327694537,147.27114000083907,73.06369146012054,0.0
63,20151214,ETH,0.993022025,0.956619978,1.013100028,0.950178027,563436,85.50179152563214,9.619694430603973,0.8785141137180972,0.010542522181406055,57.9269902923044,117.42533753051234,35.16935387962551,0.0
64,20151215,BTC,465.3210144,443.8779907,465.3210144,443.8779907,83121104,73.14794576354325,13.766142509767931,0.08591322355184516,23.780035586801205,76.55126062821829,161.1402087655822,76.58039034550701,0.0
65,20151215,ETH,1.014150023,0.990589023,1.028839946,0.982240021,578618,73.14794576354325,13.766142509767931,0.08591322355184516,0.017979444513746334,59.3456338112865,132.88076559483827,37.790040111302595,0.0
66,20151216,BTC,454.93399050000005,465.2080078,465.2080078,443.8510132,107944000,82.37359855696559,14.57030033756902,0.05610149422263877,24.33550924687853,72.47191931059659,139.52263858495527,76.54382710614217,0.0
67,20151216,ETH,0.991182029,1.01710999,1.018030047,0.974927008,320767,82.37359855696559,14.57030033756902,0.05610149422263877,0.021876293303329297,57.17751561307196,108.07993855948686,35.07811774248426,0.0
68,20151217,BTC,456.0780029,454.7770081000001,457.85998539999986,448.8580017,47978400,71.98238776251674,23.125515857523407,0.8920965890272576,24.575063891148034,72.6380491378869,126.12436163902058,76.54382710614217,0.0
69,20151217,ETH,0.940701008,0.993043005,0.997610986,0.911807001,640765,71.98238776251674,23.125515857523407,0.8920965890272576,0.02089346062424957,52.792280097707625,58.449034470574034,14.318864873536885,0.0
70,20151218,BTC,463.6159973,455.8469849,465.177002,454.9400024,60220100,73.60014185123146,16.300428284170934,0.09943033770312937,25.046350606118835,73.71913376602673,125.36542007384146,77.95833789566201,0.0
71,20151218,ETH,0.920126975,0.938327014,0.939493001,0.908080995,300787,73.60014185123146,16.300428284170934,0.09943033770312937,0.018336928115770923,51.138675482378844,29.231135674912327,13.220887273164756,0.0
