,0
0,-234218.45199881913
1,-130789.54664488765
2,46834.241408691974
3,-73610.32918888074
4,-5949.8230528566055
5,-145004.0077389395
6,40183.329968859674
7,-71878.74990234408
8,12956.963299692608
9,135887.15813721484
10,6493.837634397205
11,-81297.96826113248
12,61420.84378014528
13,-23277.194205366075
14,-76483.51287314482
15,19514.18527337443
16,-63197.603232267546
17,-72597.64594133734
18,-31340.20308639249
19,17394.55482755974
20,42948.54712519562
21,-34728.46380434558
22,-24308.590478347614
23,19401.10105962213
24,-53889.386098377174
25,-22159.29693177936
26,-1771.5486349249259
27,5014.2266437324
28,91228.56418280955
29,46789.3914832843
30,15484.887628495693
31,121008.46957874298
32,-74024.57109571318
33,36728.77663275506
34,-4275.668994063279
35,25001.84990090155
36,-81962.55363673647
37,13035.170948019018
38,-63300.45087891631
39,84153.1898598338
40,-32104.516133270925
41,14188.97779701557
42,-38446.152635237435
43,63794.99269718607
44,16491.968745802063
45,-14287.955856101355
46,16043.848431980237
47,42812.95711267181
48,-103763.74955855007
49,22548.042049718322
50,-8847.183830523863
51,-1088.9924791061785
52,1179.2721321820281
53,1479.298290828243
54,1428.5855145622045
55,-5410.559199963231
56,-26706.02390248864
57,42146.719820925035
58,2378.4572815299034
59,2316.2036184109747
60,-3303.715223309351
61,19382.756801293697
