,0
0,2770084.4881527424
1,2844838.053802757
2,2776224.616267997
3,2732943.426061199
4,2640081.8892044122
5,2692244.9776026183
6,2691689.735486574
7,2777386.683026837
8,2744919.9189915475
9,2615968.305461807
10,2450542.592224174
11,2465158.5689581325
12,2429366.5020348947
13,2392348.9775831276
14,2391336.5075061037
15,2303785.524926922
16,2420664.911886514
17,2399521.2245902875
18,2431811.861102684
19,2446703.5947853397
20,2481006.454193594
21,2513452.9583576997
22,2443743.187732908
23,2485129.0850704815
24,2490268.8657143675
25,2496614.704417301
26,2479340.1998561304
27,2450582.64424535
28,2203365.863074786
29,2240337.4937889343
30,2130730.787415112
31,2055862.15650685
32,2168306.2145826234
33,2092475.3214177494
34,2122394.5165908174
35,2107764.8396641454
36,2184265.6094461195
37,2202097.1127882344
38,2203235.538389993
39,2185759.9374264977
40,1972361.6053633573
41,1999070.758364995
42,1994418.8521822698
43,2016732.9692824169
44,1959159.728248775
45,1981960.2643396195
46,1901470.24285556
47,1998219.7291144186
48,2060952.278285509
49,2055164.7751713337
50,2131151.6433511325
51,2101679.91309638
52,2122618.31629563
53,2138073.3312230962
54,2147238.934966752
55,2208545.8298719223
56,2183607.5293486174
57,2168123.3088510814
58,2029273.6721787488
59,2053150.474808984
60,1997461.2414783854
61,2001912.295431037
62,2013760.7884565874
