,0
0,-3089.201146512758
1,-68613.43753476022
2,-43281.19020679779
3,-92861.53685678681
4,52163.08839820605
5,-555.2421160442755
6,85696.94754026318
7,-32466.76403528964
8,-128951.61352974037
9,-165425.713237633
10,14615.976733958349
11,-35792.06692323787
12,-37017.524451767094
13,-1012.4700770238414
14,-87550.9825791819
15,116879.38695959235
16,-21143.68729622662
17,32290.63651239639
18,14891.73368265573
19,34302.85940825427
20,32446.504164105747
21,-69709.77062479174
22,41385.89733757358
23,5139.780643885955
24,6345.838702933397
25,-17274.50456117047
26,-28757.555610780604
27,-247216.78117056377
28,36971.63071414828
29,-109606.70637382241
30,-74868.63090826198
31,112444.05807577353
32,-75830.89316487405
33,29919.195173067972
34,-14629.676926671993
35,76500.76978197414
36,17831.503342114855
37,1138.4256017585285
38,-17475.600963495206
39,-213398.33206314035
40,26709.153001637664
41,-4651.906182725215
42,22314.117100147065
43,-57573.241033641854
44,22800.536090844544
45,-80490.02148405951
46,96749.48625885858
47,62732.54917109036
48,-5787.503114175284
49,75986.86817979882
50,-29471.73025475256
51,20938.40319924988
52,15455.0149274664
53,9165.603743655607
54,61306.894905170426
55,-24938.300523304846
56,-15484.220497536007
57,-138849.63667233265
58,23876.80263023521
59,-55689.23333059857
60,4451.053952651564
61,11848.493025550386
