,0
0,2036416.1657088469
1,1955068.7519213925
2,1983162.5898975364
3,1991618.017290934
4,2029562.9003765844
5,2096910.2326596498
6,2092742.8331908586
7,2089307.3635477764
8,2053178.4809072788
9,2006702.2381308721
10,2021709.7232501134
11,2078299.4448536504
12,2068152.4669235386
13,2055146.2561576741
14,2062491.9248803104
15,2051307.5742077718
16,2040856.1680962525
17,2024168.6327972286
18,2047194.5968242246
19,2061414.6599053096
20,2050805.126263324
21,2055350.6458734318
22,2070651.4113369652
23,2067658.8250532951
24,2049924.6719455027
25,1947319.676522408
26,1953025.8811551926
27,1956602.4900485626
28,1958045.5200443151
29,2053185.2190438057
30,2053060.4610216143
31,2036969.7243896197
32,2015851.7494465138
33,2012350.63314143
34,2019751.0657265203
35,2017624.9340816557
36,2019078.9972359433
37,2015526.8738271517
38,2021750.5941371003
39,2015652.34638639
40,2015188.4499388922
41,2016960.6011244697
42,2018846.5580281732
43,1971054.8953566542
44,1971567.586014949
45,1966395.3382539577
46,1985081.4666524949
47,1988426.1141116559
48,1979977.1108735101
49,1984818.611954657
50,1998360.5630579102
51,2011472.7895388294
52,2032893.8949513838
53,2009038.1508127083
54,1987841.6472978604
55,1995239.9490531937
56,1995841.6461348517
57,1983402.3621027223
58,1979638.3239569634
59,1786150.1859059103
60,1758112.7298342623
61,1735468.112334953
62,1728846.4027668454
