,0
0,2005808.3138852862
1,1998736.3092515045
2,1993027.647222695
3,1995463.8342338405
4,1997195.6106646631
5,2003348.8112264394
6,2039421.815819895
7,2058824.4739772922
8,2056021.8481135634
9,2054037.683820264
10,2031341.679253276
11,2049900.5177204092
12,2040879.5076396642
13,2026942.5542435923
14,1996115.2774983658
15,2005333.7652789182
16,2042369.994239512
17,2033837.0403953856
18,2033322.2839203912
19,2031253.7317426936
20,2017291.4528652334
21,2010329.2565052335
22,2001896.6034652335
23,2015257.2492252334
24,1998641.6118652332
25,1966904.4294652333
26,1976836.7686652332
27,1909987.3728492334
28,1692670.9347972334
29,1666490.5376172333
30,1594357.5584332335
31,1620401.6442772332
32,1619239.2854852336
33,1591460.3076012337
34,1628592.1770670975
35,1638264.884203491
36,1648007.2895743654
37,1621960.3747080876
38,1611378.5588546363
39,1600721.1815043332
40,1568743.4829758855
41,1619147.3701427728
42,1615850.674035119
43,1687689.178213109
44,1685875.1118512924
45,1634051.9551724035
46,1636949.0453804866
47,1633904.9399861905
48,1644413.9225706502
49,1611266.9855722564
50,1580366.4274635615
51,1591404.730496557
52,1565817.0371065019
53,1568822.6679493058
54,1614538.0681308056
55,1618775.059050979
56,1586371.907522203
57,1476050.3075415986
58,1471903.2913679886
59,1700406.4513867493
60,1814788.3386338027
61,1874838.864422312
62,1816976.28105968
