,0
0,1965847.262044811
1,2305334.5076656113
2,1982035.8695466502
3,2195889.4074968845
4,2124909.3040736886
5,1945176.0826112113
6,1912405.7302696528
7,1940727.322816155
8,2084549.7293015118
9,1997101.9552137922
10,1973559.1756052105
11,1994513.9287316492
12,2018517.395352351
13,2080220.1839174926
14,2097005.3776392182
15,2070945.756396567
16,2032325.1062464258
17,2048540.45148433
18,2037640.2879160251
19,2014501.3183811153
20,2016189.132276255
21,2008697.9310777236
22,2011574.8009495996
23,2014952.751133281
24,2013770.8641576243
25,2015604.4786103887
26,2014744.754322585
27,2012678.066836313
28,2011482.939478192
29,2012503.986938982
30,2013136.9161604715
31,2013137.7028208622
32,2009872.8608904837
33,2010841.6578338563
34,2010859.6750317623
35,2010666.0072636781
36,2012834.7326300764
37,2012615.230854803
38,2012629.9030963234
39,2013814.5838321587
40,2013860.2499822455
41,2016824.7520726644
42,2014798.6922036565
43,2014884.1935339523
44,2013536.1849938654
45,2010847.9428303582
46,2009918.3938011609
47,2012321.341063352
48,2011132.5646590067
49,2010519.3156061557
50,2005058.9989444907
51,2005523.354277664
52,2004739.7595644724
53,2004798.6416366454
54,2006868.7569370728
55,2008803.988435688
56,2007396.829854661
57,2005357.1624355623
58,2006246.8927900272
59,2006888.4447374498
60,2006268.929767224
61,2005421.4499579407
62,2005808.3138852862
