,0
0,-1188.609370597871
1,-5370.662399326102
2,2067.9604294099845
3,-413.12906898302026
4,731.1370700461557
5,-2447.1973108201055
6,7669.648566675023
7,3994.6871686590603
8,9294.557365646935
9,26826.861165367067
10,6425.383640844026
11,-4384.143120525056
12,-5220.450541259954
13,11118.400133889634
14,23055.804668266326
15,30564.46584908804
16,35156.08462809422
17,146672.85155468783
18,-41533.18671741453
19,147625.02881226363
20,35032.9255487998
21,42340.862412199844
22,-52100.705582799856
23,-97563.45252319984
24,-14372.186953800032
25,165513.95913219964
26,-39800.69639659976
27,-1934.877685799962
28,-51065.5183118002
29,35156.25533299986
30,18945.583513400285
31,11720.684599800035
32,110377.00181879988
33,24068.71296999976
34,-15060.689721799921
35,-10915.348303999752
36,-61487.64981779992
37,46521.99357279972
38,-2347.5063426000997
39,31904.418034800095
40,-95828.69495719974
41,-88920.51433300064
42,21267.310002800543
43,92.95997059973888
44,38678.92010120046
45,-16557.173406000482
46,-48506.429116199724
47,56848.67084839987
48,-12903.18290719972
49,40702.56953579956
50,13788.515526600182
51,81635.31267000013
52,25972.483929000096
53,27047.47109019989
54,57379.57247559982
55,-43098.60888639954
56,34032.76057419949
57,44323.06601480022
58,111359.7634403999
59,99220.35720719979
60,26282.347574800253
61,27450.52686959994
