,0
0,-114879.93779812753
1,-3454.992604400497
2,-283885.59108484536
3,9537.037841116078
4,10966.056633201428
5,-131017.40039090533
6,95443.59377497062
7,129148.04307405325
8,86594.2980531319
9,5087.702497238293
10,-62385.524513344746
11,47289.858190856874
12,-65228.32468189858
13,-54194.993816891685
14,-89394.82740434958
15,-118925.87608456379
16,35992.39555439213
17,-232884.0642433311
18,-77576.4285817612
19,24054.622176344506
20,-39915.477801047266
21,74371.52352481801
22,120277.51241805265
23,-187885.53022341663
24,-12383.364037252031
25,-51649.927729815245
26,79894.38863551011
27,33388.865395825356
28,-73296.87842118181
29,20828.125236322638
30,43164.841142451856
31,297971.379417439
32,1941.9933486836962
33,27804.8584654429
34,109078.73282185197
35,-86407.27371534659
36,-50322.83696857188
37,82604.59850461828
38,47010.27152787801
39,173990.92076573474
40,13758.6061742655
41,-25371.09662859561
42,41421.62007816741
43,245483.25878248038
44,-278282.7227109745
45,143475.50206637057
46,-91078.01014186488
47,117505.60067502316
48,22588.054764334578
49,-58557.24883579044
50,-34983.44608957134
51,38345.587568419054
52,177593.71686157258
53,-11314.00465226639
54,54506.169326975476
55,-67901.54195447778
56,-93069.10083290236
57,-41489.978799300734
58,27182.851617762353
59,-89370.16231620451
60,-195941.89675378613
61,20349.882601035293
