,0
0,1000000.0
1,998811.3906294021
2,993440.728230076
3,995508.688659486
4,995095.559590503
5,995826.6966605491
6,993379.499349729
7,1001049.1479164041
8,1005043.8350850631
9,1014338.3924507101
10,1041165.2536160771
11,1047590.6372569212
12,1043206.4941363961
13,1037986.0435951361
14,1049104.4437290258
15,1072160.248397292
16,1102724.7142463801
17,1137880.7988744744
18,1284553.6504291622
19,1243020.4637117477
20,1390645.4925240113
21,1425678.418072811
22,1468019.280485011
23,1415918.574902211
24,1318355.1223790112
25,1303982.9354252112
26,1469496.8945574109
27,1429696.198160811
28,1427761.3204750111
29,1376695.802163211
30,1411852.0574962108
31,1430797.641009611
32,1442518.325609411
33,1552895.327428211
34,1576964.0403982108
35,1561903.3506764108
36,1550988.002372411
37,1489500.3525546112
38,1536022.346127411
39,1533674.8397848108
40,1565579.2578196109
41,1469750.5628624111
42,1380830.0485294105
43,1402097.358532211
44,1402190.3185028108
45,1440869.2386040112
46,1424312.0651980108
47,1375805.636081811
48,1432654.306930211
49,1419751.1240230112
50,1460453.6935588107
51,1474242.209085411
52,1555877.521755411
53,1581850.0056844112
54,1608897.476774611
55,1666277.0492502109
56,1623178.4403638113
57,1657211.2009380108
58,1701534.266952811
59,1812894.030393211
60,1912114.3876004107
61,1938396.735175211
62,1965847.262044811
