,0
0,2808905.146194801
1,2919600.5406550597
2,2916145.5480506592
3,2632259.956965814
4,2641796.99480693
5,2652763.0514401314
6,2521745.651049226
7,2617189.2448241967
8,2746337.28789825
9,2832931.585951382
10,2838019.28844862
11,2775633.7639352754
12,2822923.6221261322
13,2757695.2974442337
14,2703500.303627342
15,2614105.4762229924
16,2495179.6001384286
17,2531171.9956928208
18,2298287.9314494897
19,2220711.5028677285
20,2244766.125044073
21,2204850.6472430257
22,2279222.1707678437
23,2399499.6831858964
24,2211614.1529624797
25,2199230.7889252277
26,2147580.8611954125
27,2227475.2498309226
28,2260864.115226748
29,2187567.236805566
30,2208395.3620418888
31,2251560.2031843406
32,2549531.5826017796
33,2551473.5759504633
34,2579278.434415906
35,2688357.167237758
36,2601949.8935224116
37,2551627.0565538397
38,2634231.655058458
39,2681241.926586336
40,2855232.8473520707
41,2868991.4535263362
42,2843620.3568977406
43,2885041.976975908
44,3130525.2357583884
45,2852242.513047414
46,2995718.0151137845
47,2904640.0049719196
48,3022145.6056469427
49,3044733.6604112773
50,2986176.411575487
51,2951192.9654859155
52,2989538.5530543346
53,3167132.269915907
54,3155818.265263641
55,3210324.4345906163
56,3142422.8926361385
57,3049353.791803236
58,3007863.8130039354
59,3035046.6646216977
60,2945676.502305493
61,2749734.605551707
62,2770084.4881527424
