,0
0,3219754.524724653
1,3194577.7488233633
2,3183569.9701786437
3,3170237.284162295
4,3191361.5132807908
5,3165090.8870814717
6,3114911.9118555705
7,3130615.719344544
8,3024921.5800778675
9,2680208.7559061465
10,2638681.9206000417
11,2524265.9961158643
12,2565576.6170398295
13,2563732.906198084
14,2519670.433362796
15,2578640.9516725666
16,2594001.7650469695
17,2609473.263212846
18,2568109.2693900145
19,2551304.7392626023
20,2534380.2131469874
21,2483597.7949147387
22,2563642.0568982223
23,2558406.714511885
24,2672490.3769462034
25,2669609.535580935
26,2587311.3922595363
27,2591912.137571853
28,2587077.9237168855
29,2603766.7904383196
30,2551127.5544947768
31,2502055.696991034
32,2519585.1549255126
33,2478950.4311296036
34,2483723.545191431
35,2556322.2210969618
36,2563050.8055434963
37,2511592.743559662
38,2336395.7191308425
39,2329810.019739224
40,2692686.1357029825
41,2874331.129047528
42,2969694.8061097036
43,2877805.707033187
44,2931135.7635126486
45,2862129.99489231
46,2860220.5852412884
47,2879346.4731927817
48,2899123.3341106675
49,2871341.1840843284
50,2926448.854344407
51,2904660.127967875
52,2910365.834395158
53,2881353.8338353806
54,2737510.479878512
55,2740215.784511143
56,2815433.954055092
57,2722869.9281425043
58,2740862.4547408842
59,2738561.871922155
60,2707420.6639952105
61,2640236.0790274674
62,2658506.712885028
