,0
0,1234063.840734297
1,1215988.2026795677
2,1217208.3559898036
3,1216442.5209944516
4,1221888.9162098877
5,1233246.3200408195
6,1260558.3049750885
7,1253250.3313664088
8,1255460.2518798874
9,1267480.4663669216
10,1272549.6623964643
11,1254990.7558753663
12,1253282.5046209411
13,1256973.4735016022
14,1252722.275645933
15,1234327.6029122737
16,1241179.9328936196
17,1271874.2626082967
18,1266265.2421133805
19,1275345.715627938
20,1277916.3808042675
21,1277526.7608769436
22,1293902.2341053116
23,1517814.2702006462
24,1546713.0369883599
25,1531130.8873360583
26,1566463.907552743
27,1573642.0887003036
28,1616792.858732076
29,1644987.3569770888
30,1618673.4593361907
31,1655778.4246383256
32,1575091.1487228444
33,1582856.9614110328
34,1585042.3919573915
35,1607112.9203539537
36,1575896.5468567733
37,1628159.9810226578
38,1633241.6429714814
39,1647652.4042303911
40,1649336.1544520692
41,1659907.7718396892
42,1652661.7708517471
43,1678982.2754595422
44,1732656.055521206
45,1699304.6267872334
46,1620389.896308503
47,1641745.8509073525
48,1638315.270451427
49,1643542.4981994424
50,1631818.9028463713
51,1663891.6735955535
52,1680015.9597083176
53,1711231.6505259299
54,1792884.285047385
55,1811942.7333990734
56,1800883.7082247557
57,1786178.6178884027
58,1811815.731857327
59,1858294.2544609217
60,1917818.9291482684
61,1981181.9353973507
62,2237317.8113742657
