,0
0,198176.8857766986
1,-439580.00914709736
2,67035.93943357002
3,301692.4454057249
4,-40848.810337355826
5,73209.40380936628
6,-52110.88800641941
7,-79473.66851539258
8,-137180.47167849075
9,-26762.293167421594
10,30887.94177493686
11,-12882.026285056025
12,-118058.32809558697
13,23016.798524178565
14,-10481.68115839269
15,27370.092377230525
16,148264.83422363922
17,97367.08602968324
18,36478.81210433319
19,94129.17292873794
20,46022.05871276418
21,259008.55899940198
22,-98368.47050357424
23,143670.12802185118
24,7519.736895440612
25,-32221.4592462359
26,-157786.78566658776
27,52722.17781202588
28,-43841.81886573322
29,-151400.6678195973
30,-262536.699035279
31,80814.75305295782
32,19529.88701969199
33,-43026.668742778245
34,35372.53437328292
35,175684.26328436844
36,-47417.59680391941
37,-193893.46112430468
38,-2168.879832535982
39,85880.23960072687
40,-76915.85718297632
41,-6650.261579677928
42,69950.06298458017
43,-57634.089327156544
44,-133846.52743204357
45,-75875.06201397441
46,26632.14330145251
47,10037.504361365922
48,39535.78117669001
49,182904.90018856805
50,85980.15446131164
51,-9023.238011314534
52,-5889.853650550358
53,-69034.89372435631
54,50930.960776135325
55,-22947.829715164844
56,-33128.401018676814
57,-68031.64223203342
58,19383.045387758408
59,71993.53708590707
60,-15215.434932889882
61,-799.010905649513
