,0
0,261290.36213603802
1,55667.01180578396
2,65358.389259466436
3,-99318.75384464208
4,-167779.60193243297
5,-22542.008031907957
6,287321.3407035689
7,-68034.50910736434
8,-4646.011665454134
9,-87845.22089575278
10,62576.244046987034
11,32725.45706604002
12,20211.28840764379
13,192483.39713527635
14,41110.34924234776
15,-26613.53163415892
16,-18754.243477946147
17,-105445.91210368834
18,79089.94639875554
19,-3251.6722459373996
20,55493.53391081747
21,-165593.15550027275
22,-155440.04280007025
23,36116.915055048186
24,-684.7955768015236
25,68824.49768432416
26,-27856.18380185915
27,-82507.84839461325
28,96836.08367593912
29,-22519.57357782591
30,67650.73576737521
31,26380.85290500056
32,143557.73828785168
33,44825.62118149595
34,48413.831326874904
35,101057.28091517836
36,-73991.53195421444
37,59468.44214613922
38,78658.61912408518
39,191467.5013184226
40,172778.9724534871
41,47659.37888052454
42,48295.56704203598
43,241836.62335190643
44,379995.8227583328
45,-568583.5013333559
46,379750.9823290133
47,-138922.0626409771
48,-354224.83092356427
49,-72574.82165539544
50,67774.87002010178
51,359613.50361953257
52,-231298.0059068799
53,-73491.70021915855
54,71355.99080232158
55,75141.01915981993
56,258985.49511811975
57,89269.75709480466
58,-129413.53648565058
59,-247430.2115159901
60,141826.00968709541
61,-131369.48123718007
