,0
0,-21977.756675240584
1,-11007.778644719627
2,-13332.686016348656
3,21124.229118495714
4,-26270.626199319027
5,-50178.97522590123
6,15703.807488973718
7,-105694.13926667674
8,-344712.824171721
9,-41526.83530610474
10,-114415.92448417749
11,41310.62092396524
12,-1843.7108417456038
13,-44062.47283528792
14,58970.51830977062
15,15360.813374402933
16,15471.498165876605
17,-41363.99382283166
18,-16804.530127412174
19,-16924.52611561492
20,-50782.41823224863
21,80044.26198348356
22,-5235.342386337463
23,114083.66243431857
24,-2880.841365268454
25,-82298.14332139865
26,4600.745312316809
27,-4834.2138549676165
28,16688.866721434053
29,-52639.23594354279
30,-49071.85750374291
31,17529.457934478763
32,-40634.72379590897
33,4773.114061827306
34,72598.6759055308
35,6728.584446534514
36,-51458.06198383449
37,-175197.0244288193
38,-6585.699391618371
39,362876.11596375844
40,181644.99334454536
41,95363.6770621757
42,-91889.09907651646
43,53330.05647946149
44,-69005.76862033876
45,-1909.409651021473
46,19125.887951493263
47,19776.860917885788
48,-27782.150026339106
49,55107.67026007874
50,-21788.72637653211
51,5705.706427283119
52,-29012.000559777487
53,-143843.3539568684
54,2705.304632630665
55,75218.16954394896
56,-92564.02591258753
57,17992.526598379947
58,-2300.5828187293373
59,-31141.207926944364
60,-67184.58496774314
61,18270.63385756081
