,0
0,2237317.8113742657
1,2426536.028638856
2,2482203.04044464
3,2547561.4297041064
4,2448242.6758594643
5,2280463.0739270314
6,2257921.0658951234
7,2545242.4065986923
8,2477207.897491328
9,2472561.885825874
10,2384716.664930121
11,2447292.908977108
12,2480018.366043148
13,2500229.654450792
14,2692713.0515860682
15,2733823.400828416
16,2707209.869194257
17,2688455.625716311
18,2583009.7136126226
19,2662099.660011378
20,2658847.9877654407
21,2714341.521676258
22,2548748.3661759854
23,2393308.323375915
24,2429425.2384309634
25,2428740.442854162
26,2497564.940538486
27,2469708.756736627
28,2387200.9083420136
29,2484036.9920179527
30,2461517.418440127
31,2529168.154207502
32,2555549.0071125026
33,2699106.7454003543
34,2743932.36658185
35,2792346.197908725
36,2893403.4788239035
37,2819411.946869689
38,2878880.3890158283
39,2957539.0081399134
40,3149006.509458336
41,3321785.481911823
42,3369444.8607923477
43,3417740.4278343837
44,3659577.05118629
45,4039572.873944623
46,3470989.372611267
47,3850740.3549402803
48,3711818.292299303
49,3357593.461375739
50,3285018.6397203435
51,3352793.5097404453
52,3712407.013359978
53,3481109.007453098
54,3407617.3072339394
55,3478973.298036261
56,3554114.317196081
57,3813099.8123142007
58,3902369.5694090053
59,3772956.032923355
60,3525525.8214073647
61,3667351.83109446
62,3535982.34985728
