,0
0,2013760.7884565874
1,2169176.523896913
2,2345182.3869153233
3,2349502.3597937925
4,2371943.8273386015
5,2330743.993891887
6,2354863.6360835745
7,2353385.0901276963
8,2434236.3346554018
9,2653590.491373955
10,2580157.5252042315
11,2509709.053106038
12,2574155.935027551
13,2581007.680814427
14,2588628.2706449092
15,2573951.199420746
16,2447824.2185781663
17,2397444.1930034
18,2377597.2045085467
19,2340229.9347104817
20,2217636.022658668
21,2229209.9635460833
22,2193327.8903013207
23,2126325.9726355607
24,1986177.6040110658
25,2067191.6810464433
26,1943733.346980126
27,1973797.3982873217
28,1981244.023693101
29,1965578.8035094342
30,1934390.5399852605
31,1967959.6124436192
32,1977082.255571583
33,2057138.6015642763
34,2005794.0097146193
35,2031695.318280166
36,1967092.0220535845
37,2023243.5733733645
38,1987446.942379576
39,2036458.2129371504
40,2093797.8756265813
41,2106575.866166786
42,2088899.1899816068
43,2144385.6586156883
44,2210316.2433537906
45,2194569.4248017245
46,2172964.938588822
47,2191188.826059846
48,2239924.590909054
49,2264390.4073065845
50,2260244.7127734777
51,2291547.7752792034
52,2114061.8263713713
53,2032154.0594928574
54,2012780.3485750756
55,1937923.6977635939
56,1961172.9128185732
57,1970127.3380614365
58,1967488.2044080268
59,1976989.0855603023
60,2028377.6750868731
61,2026949.4380509101
62,2036416.1657088469
