date,count,neutral,positive,negative
2007-04-19,1,0.9999899864196777,8.65453330334276e-06,1.3421844187178067e-06
2009-01-11,1,0.9999865293502808,1.6570137404414709e-06,1.1822897249658126e-05
2009-01-21,1,0.9999971389770508,1.632835505915864e-06,1.1362701570760692e-06
2009-01-27,1,0.9996417760848999,0.00024398567620664835,0.00011429360165493563
2009-01-29,1,0.9999997615814209,2.3943394822367736e-08,2.423017235742009e-07
2009-02-18,1,0.9999867677688599,1.0984815162373707e-05,2.207352508776239e-06
2009-06-09,1,0.9999997615814209,8.409030982647892e-08,9.395851208182648e-08
2009-06-19,3,2.9859315156936646,0.0140295549894347,3.885250856683342e-05
2009-06-20,1,0.9999978542327881,1.2718606967609958e-06,8.778471283221734e-07
2009-09-24,1,0.2859625816345215,0.714032769203186,4.683247425418813e-06
2009-12-04,1,0.9999815225601196,1.3712155123357661e-05,4.710682333097793e-06
2009-12-13,2,1.9999966621398926,6.89258797592629e-07,2.6835361950361403e-06
2010-03-11,1,0.9999840259552002,1.3310135727806482e-05,2.5954507236747304e-06
2010-04-30,1,0.9760549664497375,0.023879455402493477,6.555022264365107e-05
2010-06-19,1,0.9999990463256836,1.8385296129963535e-07,6.957117193451268e-07
2010-07-19,1,0.9999923706054688,3.0649860605080903e-07,7.2246430136146955e-06
2010-07-20,2,1.9999399185180664,4.835210233977705e-05,1.1638603837127448e-05
2010-07-21,1,0.9999986886978149,8.725469911041728e-07,4.3079759848296817e-07
2010-08-14,1,0.999934196472168,4.9400772695662454e-05,1.6402123947045766e-05
2010-08-21,1,0.9999958276748657,6.608792091356008e-07,3.4333950225118315e-06
2010-10-22,1,0.9999990463256836,4.864821789851703e-08,9.83862719294848e-07
2010-11-06,1,0.9999380111694336,7.017485614824182e-08,6.184254743857309e-05
2010-11-25,1,0.9999996423721313,2.1671701233572094e-07,1.5929299479466863e-07
2010-11-29,1,0.9999661445617676,6.138522621768061e-06,2.7792162654804997e-05
2010-11-30,1,0.9998369216918945,0.00016167841386049986,1.4132941714706249e-06
2010-12-02,1,0.9999990463256836,5.6805896520018e-07,3.5474428727866325e-07
2010-12-07,3,2.9999794960021973,1.8118444096160147e-06,1.8651808034064743e-05
2010-12-11,1,0.9999969005584717,7.265271619871783e-07,2.4315115751960548e-06
2010-12-16,1,0.9999852180480957,7.369515060418053e-06,7.349785846599843e-06
2010-12-20,1,0.9278717041015625,0.07211662828922272,1.1661264579743147e-05
2010-12-29,1,1.0,5.287028059797194e-08,4.124065000610244e-08
2011-01-01,1,0.9999945163726807,4.3691993596439715e-06,1.0818148439284414e-06
2011-01-09,1,0.9999929666519165,5.6046037570922635e-06,1.411118660143984e-06
2011-02-13,1,0.999967098236084,1.2656176295422483e-05,2.0254081391613e-05
2011-03-27,1,2.6643171224804973e-08,1.0,1.431618823488634e-09
2011-04-14,1,0.999890923500061,3.692909376695752e-05,7.215279765659943e-05
2011-04-16,1,0.9999972581863403,5.105364664359513e-08,2.7488947580422973e-06
2011-04-22,1,0.9999915361404419,2.738633497756382e-07,8.246421202784404e-06
2011-04-24,1,0.9999933242797852,7.519073363937423e-09,6.636328635067912e-06
2011-04-26,1,0.9989351630210876,0.0002047868474619463,0.0008600651635788381
2011-04-29,3,2.620786428451538,0.3766250026237685,0.002588478002053307
2011-05-10,1,0.9190099835395813,0.08094830065965652,4.176697984803468e-05
2011-05-11,1,0.9999873638153076,2.9968560966153746e-07,1.2322918337304145e-05
2011-05-13,1,0.9999971389770508,2.2890932882546622e-07,2.6649574920156738e-06
2011-05-14,1,0.9999773502349854,1.95197371795075e-05,3.1155479973676847e-06
2011-05-15,2,1.4499932527542114,0.5498631718030538,0.00014352794096339494
2011-05-16,9,8.410300642251968,8.847916520871024e-05,0.589610990464223
2011-05-17,2,1.9964110851287842,0.0032345394192816457,0.0003543933817127254
2011-05-18,2,1.2649481892585754,0.7333393354638247,0.0017123827092291322
2011-05-19,5,4.328979730606079,0.6703615311741161,0.000658720304045346
2011-05-20,2,1.9999865293502808,2.5175607731853233e-07,1.3250445931589638e-05
2011-05-23,2,1.9988495111465454,0.0011422272864365368,8.262578944595589e-06
2011-05-24,1,0.9999823570251465,4.2340255390627135e-07,1.7166416000691243e-05
2011-05-26,1,0.9585535526275635,0.04143108054995537,1.53610799316084e-05
2011-05-27,2,1.9999929666519165,4.339698055133567e-06,2.7042778683039614e-06
2011-05-29,1,0.9999985694885254,6.908821887918748e-07,7.367107741629297e-07
2011-05-30,1,0.9994426369667053,6.954761829547351e-06,0.0005504294531419873
2011-05-31,1,0.9999715089797974,8.239130124820804e-07,2.7596604923019186e-05
2011-06-01,3,2.014568092301488,2.360030009640468e-05,0.9854082584138837
2011-06-02,3,2.882361888885498,0.0015227741518764049,0.11611524603677026
2011-06-03,1,0.9999998807907104,2.8405611196546943e-09,9.992870531050357e-08
2011-06-04,5,4.542191922664642,0.44824811366361494,0.009559981703205267
2011-06-05,2,1.9999834299087524,1.3607966409256989e-05,3.058305026115704e-06
2011-06-06,2,1.9999867677688599,1.4229984657276873e-06,1.1767899763981404e-05
2011-06-07,1,0.9998766183853149,0.00011621800513239577,7.165855095081497e-06
2011-06-08,4,3.999923348426819,5.944740740471133e-05,1.735361983179473e-05
2011-06-09,7,6.995700657367706,0.002659956788967577,0.0016392858185696468
2011-06-10,3,2.1311329156160355,0.8681170609120272,0.0007499014302538853
2011-06-11,8,6.77515420857344,1.1351877023977863,0.08965828963151523
2011-06-12,4,3.9998923540115356,1.8589211890684965e-05,8.897598695511988e-05
2011-06-13,2,1.9999868869781494,1.012901364561003e-05,2.898480687463234e-06
2011-06-14,3,1.929366206238278,1.0001743229890074,0.07045959973405136
2011-06-15,3,2.999307930469513,2.3212172905573425e-05,0.0006689330577955843
2011-06-16,2,0.5625465661287308,0.6319777551107109,0.8054756060009822
2011-06-17,2,1.9993795156478882,0.00036759505627514955,0.00025276858559664106
2011-06-18,3,2.999995470046997,5.003203256137567e-07,3.998743181909958e-06
2011-06-20,4,3.9572049379348755,0.041009189905651056,0.0017858234946288576
2011-06-21,2,1.9999938011169434,1.6428618891950464e-06,4.520525976658973e-06
2011-06-26,2,1.0120634129270911,0.9678321611460561,0.020104385692661708
2011-06-27,1,0.9943850040435791,4.735726633953163e-06,0.0056102885864675045
2011-06-28,2,1.9989221692085266,0.0007857956054522219,0.00029191845294462837
2011-06-29,1,0.22090323269367218,0.0038462395314127207,0.7752505540847778
2011-07-01,1,0.9999996423721313,1.988439493061378e-07,1.5779659179315786e-07
2011-07-02,1,7.4051908995897975e-06,1.7878519429359585e-06,0.9999908208847046
2011-07-08,1,0.9999914169311523,6.377458703354932e-06,2.2237693428905914e-06
2011-07-11,1,0.9999548196792603,4.059543789480813e-05,4.538642770057777e-06
2011-07-13,1,2.4985306481539737e-06,0.9999973773956299,1.4555125460447016e-07
