Date,technical_indicator+sentiment_score,daily_return_ti+ss,technical_indicator+sentiment_score+rnn_score,daily_return_ti+ss+rnn_score
2019-02-19,1000000.0,,1000000.0,
2019-02-20,998811.390629402,-0.0011886093705979484,998811.390629402,-0.0011886093705979484
2019-02-21,993440.7282300759,-0.005377053615639893,993440.7282300759,-0.005377053615639893
2019-02-22,995508.6886594859,0.002081614303345747,995508.6886594859,0.002081614303345747
2019-02-23,995095.559590503,-0.00041499293144209304,995095.559590503,-0.000414992931442093
2019-02-24,995826.6966605493,0.0007347405613458147,995826.6966605493,0.0007347405613458148
2019-02-25,993379.499349729,-0.002457453007663646,993379.499349729,-0.0024574530076636463
2019-02-26,1001049.1479164041,0.007720763889022875,1001049.1479164041,0.007720763889022875
2019-02-27,1005043.8350850631,0.003990500543328723,1005043.8350850631,0.003990500543328722
2019-02-28,1014338.39245071,0.009247912420516702,1014338.39245071,0.009247912420516702
2019-03-01,1041165.2536160772,0.026447644459707265,1041165.2536160772,0.02644764445970726
2019-03-02,1047590.6372569213,0.006171338909484403,1047590.6372569213,0.006171338909484403
2019-03-03,1043206.494136396,-0.004184977380100485,1043206.494136396,-0.004184977380100485
2019-03-04,1037986.0435951359,-0.005004235087303299,1037986.0435951359,-0.005004235087303299
2019-03-05,1049104.4437290258,0.01071151216579036,1049104.4437290258,0.01071151216579036
2019-03-06,1072160.248397292,0.021976653331402085,1072160.248397292,0.021976653331402085
2019-03-07,1102724.71424638,0.02850736715409541,1102724.71424638,0.028507367154095412
2019-03-08,1137880.7988744744,0.03188110701964342,1137880.7988744744,0.03188110701964342
2019-03-09,1284553.6504291622,0.1289000145707424,1284553.6504291622,0.1289000145707424
2019-03-10,1243020.4637117477,-0.032332776994980716,1245272.4177347778,-0.030579674645166314
2019-03-11,1390645.4925240113,0.11876315243551572,1392865.0573473205,0.11852237109774122
2019-03-12,1425678.4180728109,0.025191844892989312,1426307.0872491512,0.024009526066739232
2019-03-13,1468019.280485011,0.02969874683902085,1469083.1849400303,0.029990804976913758
2019-03-14,1415918.5749022109,-0.03549047773104641,1420993.9329574262,-0.032734192641764685
2019-03-15,1318355.1223790112,-0.06890470557598116,1322999.2059082852,-0.06896210094661748
2019-03-16,1303982.9354252112,-0.010901605121285574,1308855.5626491813,-0.010690590890713223
2019-03-17,1469496.8945574109,0.12692954381203436,1474157.378724749,0.12629492572961176
2019-03-18,1429696.1981608109,-0.027084573328470585,1436207.0025446462,-0.02574377520867721
2019-03-19,1427761.3204750114,-0.0013533488361293644,1434532.6256252625,-0.0011658325829194682
2019-03-20,1376695.802163211,-0.035766144928769394,1383137.632231082,-0.0358269951314486
2019-03-21,1411852.057496211,0.02553669102336098,1415851.5690044973,0.023651975053737617
2019-03-22,1430797.6410096108,0.013418958036579332,1434769.9702861668,0.013361853527464884
2019-03-23,1442518.3256094109,0.008191713673451062,1445819.4085580588,0.007701191480672166
2019-03-24,1552895.327428211,0.07651688013888491,1555464.303958273,0.07583581652812721
2019-03-25,1576964.040398211,0.015499250042732005,1579638.413934695,0.015541410956783075
2019-03-26,1561903.3506764108,-0.009550433196940267,1564870.731044854,-0.009348774225524492
2019-03-27,1550988.0023724108,-0.0069884915089483135,1553900.4486530647,-0.007010344160801485
2019-03-28,1489500.3525546112,-0.03964418146610249,1495197.0484597932,-0.037778095916090486
2019-03-29,1536022.346127411,0.03123328805730785,1542508.626997001,0.0316423702052806
2019-03-30,1533674.839784811,-0.0015283022076588715,1539697.2187788042,-0.0018226207419469453
2019-03-31,1565579.2578196109,0.02080259596569789,1571514.9135910696,0.020664903738347503
2019-04-01,1469750.5628624111,-0.0612097372129603,1480231.442054294,-0.0580862903350905
2019-04-02,1380830.0485294105,-0.06050041182486343,1391579.9314519593,-0.059890303694199676
2019-04-03,1402097.358532211,0.01540183024366426,1412271.1148716104,0.01486884292594115
2019-04-04,1402190.3185028108,6.630065311363786e-05,1412897.3637035843,0.0004434338600989296
2019-04-05,1440869.2386040112,0.027584643532912123,1448149.933583198,0.02495055252081957
2019-04-06,1424312.065198011,-0.01149110062342762,1430842.4892492718,-0.011951417413735621
2019-04-07,1375805.636081811,-0.03405604031687848,1383507.785675643,-0.03308170111614739
