Date,technical_indicator+sentiment_score,datadate,daily_return_ti+ss,Date
2019-02-19,1000000.0,20190219,,2019-02-19
2019-02-20,998811.390629402,20190220,-0.0011886093705979484,2019-02-20
2019-02-21,993440.7282300759,20190221,-0.005377053615639893,2019-02-21
2019-02-22,995508.6886594859,20190222,0.002081614303345747,2019-02-22
2019-02-23,995095.559590503,20190223,-0.00041499293144209304,2019-02-23
2019-02-24,995826.6966605493,20190224,0.0007347405613458147,2019-02-24
2019-02-25,993379.499349729,20190225,-0.002457453007663646,2019-02-25
2019-02-26,1001049.1479164041,20190226,0.007720763889022875,2019-02-26
2019-02-27,1005043.8350850631,20190227,0.003990500543328723,2019-02-27
2019-02-28,1014338.39245071,20190228,0.009247912420516702,2019-02-28
2019-03-01,1041165.2536160772,20190301,0.026447644459707265,2019-03-01
2019-03-02,1047590.6372569213,20190302,0.006171338909484403,2019-03-02
2019-03-03,1043206.494136396,20190303,-0.004184977380100485,2019-03-03
2019-03-04,1037986.0435951359,20190304,-0.005004235087303299,2019-03-04
2019-03-05,1049104.4437290258,20190305,0.01071151216579036,2019-03-05
2019-03-06,1072160.248397292,20190306,0.021976653331402085,2019-03-06
2019-03-07,1102724.71424638,20190307,0.02850736715409541,2019-03-07
2019-03-08,1137880.7988744744,20190308,0.03188110701964342,2019-03-08
2019-03-09,1284553.6504291622,20190309,0.1289000145707424,2019-03-09
2019-03-10,1243020.4637117477,20190310,-0.032332776994980716,2019-03-10
2019-03-11,1390645.4925240113,20190311,0.11876315243551572,2019-03-11
2019-03-12,1425678.4180728109,20190312,0.025191844892989312,2019-03-12
2019-03-13,1468019.280485011,20190313,0.02969874683902085,2019-03-13
2019-03-14,1415918.5749022109,20190314,-0.03549047773104641,2019-03-14
2019-03-15,1318355.1223790112,20190315,-0.06890470557598116,2019-03-15
2019-03-16,1303982.9354252112,20190316,-0.010901605121285574,2019-03-16
2019-03-17,1469496.8945574109,20190317,0.12692954381203436,2019-03-17
2019-03-18,1429696.1981608109,20190318,-0.027084573328470585,2019-03-18
2019-03-19,1427761.3204750114,20190319,-0.0013533488361293644,2019-03-19
2019-03-20,1376695.802163211,20190320,-0.035766144928769394,2019-03-20
2019-03-21,1411852.057496211,20190321,0.02553669102336098,2019-03-21
2019-03-22,1430797.6410096108,20190322,0.013418958036579332,2019-03-22
2019-03-23,1442518.3256094109,20190323,0.008191713673451062,2019-03-23
2019-03-24,1552895.327428211,20190324,0.07651688013888491,2019-03-24
2019-03-25,1576964.040398211,20190325,0.015499250042732005,2019-03-25
2019-03-26,1561903.3506764108,20190326,-0.009550433196940267,2019-03-26
2019-03-27,1550988.0023724108,20190327,-0.0069884915089483135,2019-03-27
2019-03-28,1489500.3525546112,20190328,-0.03964418146610249,2019-03-28
2019-03-29,1536022.346127411,20190329,0.03123328805730785,2019-03-29
2019-03-30,1533674.839784811,20190330,-0.0015283022076588715,2019-03-30
2019-03-31,1565579.2578196109,20190331,0.02080259596569789,2019-03-31
2019-04-01,1469750.5628624111,20190401,-0.0612097372129603,2019-04-01
2019-04-02,1380830.0485294105,20190402,-0.06050041182486343,2019-04-02
2019-04-03,1402097.358532211,20190403,0.01540183024366426,2019-04-03
2019-04-04,1402190.3185028108,20190404,6.630065311363786e-05,2019-04-04
2019-04-05,1440869.2386040112,20190405,0.027584643532912123,2019-04-05
2019-04-06,1424312.065198011,20190406,-0.01149110062342762,2019-04-06
2019-04-07,1375805.636081811,20190407,-0.03405604031687848,2019-04-07
2019-04-08,1432654.306930211,20190408,0.04132027763042201,2019-04-08
2019-04-09,1419751.1240230112,20190409,-0.0090064873604071,2019-04-09
2019-04-10,1460453.693558811,20190410,0.028668805995000657,2019-04-10
2019-04-11,1474242.209085411,20190411,0.00944125485622238,2019-04-11
2019-04-12,1555877.5217554108,20190412,0.05537442366451084,2019-04-12
2019-04-13,1581850.0056844112,20190413,0.016693141693889357,2019-04-13
2019-04-14,1608897.476774611,20190414,0.01709863197711803,2019-04-14
2019-04-15,1666277.0492502109,20190415,0.03566390854849866,2019-04-15
2019-04-16,1623178.4403638113,20190416,-0.025865211854050885,2019-04-16
2019-04-17,1657211.2009380108,20190417,0.020966740148773422,2019-04-17
2019-04-18,1701534.266952811,20190418,0.026745574728020527,2019-04-18
2019-04-19,1812894.030393211,20190419,0.06544667692166328,2019-04-19
2019-04-20,1912114.387600411,20190420,0.05473036787797203,2019-04-20
2019-04-21,1938396.735175211,20190421,0.013745175364630047,2019-04-21
2019-04-22,1965847.262044811,20190422,0.01416145950489267,2019-04-22
2019-04-23,1965847.262044811,20190423,0.0,2019-04-23
2019-04-24,2305334.5076656113,20190424,0.17269258511349284,2019-04-24
