Date,technical_indicator,daily_return_ti,technical_indicator+sentiment_score,daily_return_ti+ss
2019-02-19,1000000.0,,1000000.0,
2019-02-20,998811.390629402,-0.0011886093705979484,998811.390629402,-0.0011886093705979484
2019-02-21,993440.7282300759,-0.005377053615639893,993440.7282300759,-0.005377053615639893
2019-02-22,995508.6886594859,0.002081614303345747,995508.6886594859,0.002081614303345747
2019-02-23,995095.559590503,-0.000414992931442093,995095.559590503,-0.00041499293144209304
2019-02-24,995826.6966605493,0.0007347405613458148,995826.6966605493,0.0007347405613458147
2019-02-25,993379.499349729,-0.0024574530076636463,993379.499349729,-0.002457453007663646
2019-02-26,1001049.1479164041,0.007720763889022875,1001049.1479164041,0.007720763889022875
2019-02-27,1005043.8350850631,0.003990500543328722,1005043.8350850631,0.003990500543328723
2019-02-28,1014338.39245071,0.009247912420516702,1014338.39245071,0.009247912420516702
2019-03-01,1041165.2536160772,0.02644764445970726,1041165.2536160772,0.026447644459707265
2019-03-02,1047590.6372569213,0.006171338909484403,1047590.6372569213,0.006171338909484403
2019-03-03,1043206.494136396,-0.004184977380100485,1043206.494136396,-0.004184977380100485
2019-03-04,1037986.0435951359,-0.005004235087303299,1037986.0435951359,-0.005004235087303299
2019-03-05,1049104.4437290258,0.01071151216579036,1049104.4437290258,0.01071151216579036
2019-03-06,1072160.248397292,0.021976653331402085,1072160.248397292,0.021976653331402085
2019-03-07,1102724.71424638,0.028507367154095412,1102724.71424638,0.02850736715409541
2019-03-08,1137880.7988744744,0.03188110701964342,1137880.7988744744,0.03188110701964342
2019-03-09,1284553.6504291622,0.1289000145707424,1284553.6504291622,0.1289000145707424
2019-03-10,1243020.4637117477,-0.032332776994980716,1243020.4637117477,-0.032332776994980716
2019-03-11,1390645.4925240113,0.11876315243551573,1390645.4925240113,0.11876315243551572
2019-03-12,1425678.4180728109,0.025191844892989312,1425678.4180728109,0.025191844892989312
2019-03-13,1468019.280485011,0.02969874683902085,1468019.280485011,0.02969874683902085
2019-03-14,1415918.5749022109,-0.03549047773104641,1415918.5749022109,-0.03549047773104641
2019-03-15,1318355.1223790112,-0.06890470557598116,1318355.1223790112,-0.06890470557598116
2019-03-16,1303982.9354252112,-0.010901605121285574,1303982.9354252112,-0.010901605121285574
2019-03-17,1469496.8945574109,0.12692954381203436,1469496.8945574109,0.12692954381203436
2019-03-18,1429696.1981608109,-0.027084573328470585,1429696.1981608109,-0.027084573328470585
2019-03-19,1427761.3204750114,-0.0013533488361293644,1427761.3204750114,-0.0013533488361293644
2019-03-20,1376695.802163211,-0.035766144928769394,1376695.802163211,-0.035766144928769394
2019-03-21,1411852.057496211,0.02553669102336098,1411852.057496211,0.02553669102336098
2019-03-22,1430797.6410096108,0.013418958036579332,1430797.6410096108,0.013418958036579332
2019-03-23,1442518.3256094109,0.008191713673451062,1442518.3256094109,0.008191713673451062
2019-03-24,1552895.327428211,0.07651688013888491,1552895.327428211,0.07651688013888491
2019-03-25,1576964.040398211,0.015499250042732003,1576964.040398211,0.015499250042732005
2019-03-26,1561903.3506764108,-0.009550433196940268,1561903.3506764108,-0.009550433196940267
2019-03-27,1550988.0023724108,-0.006988491508948314,1550988.0023724108,-0.0069884915089483135
2019-03-28,1489500.3525546112,-0.03964418146610249,1489500.3525546112,-0.03964418146610249
2019-03-29,1536022.346127411,0.03123328805730785,1536022.346127411,0.03123328805730785
2019-03-30,1533674.839784811,-0.0015283022076588715,1533674.839784811,-0.0015283022076588715
2019-03-31,1565579.2578196109,0.02080259596569789,1565579.2578196109,0.02080259596569789
2019-04-01,1469750.5628624111,-0.0612097372129603,1469750.5628624111,-0.0612097372129603
2019-04-02,1380830.0485294105,-0.060500411824863425,1380830.0485294105,-0.06050041182486343
2019-04-03,1402097.358532211,0.015401830243664259,1402097.358532211,0.01540183024366426
2019-04-04,1402190.3185028108,6.630065311363785e-05,1402190.3185028108,6.630065311363786e-05
2019-04-05,1440869.2386040112,0.027584643532912127,1440869.2386040112,0.027584643532912123
2019-04-06,1424312.065198011,-0.011491100623427621,1424312.065198011,-0.01149110062342762
2019-04-07,1375805.636081811,-0.034056040316878484,1375805.636081811,-0.03405604031687848
2019-04-08,1432654.306930211,0.041320277630422016,1432654.306930211,0.04132027763042201
